rainfall_mm,fertilizer_kg,temperature_c,soil_quality,noise_feature,crop_yield
152,35,38,3,0.34406813140202236,19.65549525486852
229,98,29,9,0.9262325428850338,56.964797271168614
142,69,23,5,0.6078385403348046,36.507401001398506
64,50,21,8,1.0325127928278814,32.092890086306184
156,38,28,1,-1.0344023564856846,19.969369929211243
121,24,34,5,0.20428294200132874,11.989369379151647
238,54,23,3,0.48121772842812693,32.88410018383514
70,74,22,1,0.46705717272888814,30.57431692988925
152,98,37,4,1.1370174186334576,43.08051379303479
171,80,19,5,0.4468901447740677,42.51036593565797
260,18,23,7,-1.1449485200714016,27.08403007129389
264,97,39,1,0.5913161169279817,45.35420251978496
124,10,28,3,-0.8830786584795335,6.568428310464576
252,17,33,2,-0.6993780483964821,16.372366936155533
137,97,33,9,-0.41850888121043234,54.26733382402044
166,72,18,6,-0.11141877658159101,46.165028423472506
149,20,26,3,-1.543725402691896,14.08736618455228
153,90,23,8,1.1168934402016786,51.78124861606139
201,17,33,8,-1.1555159100894843,26.22771997274791
180,44,20,2,1.5701106220388537,25.050470705611207
199,44,37,6,-1.124951737832857,28.782859071606325
102,42,21,7,1.2819203803142016,31.215111263210865
51,14,36,2,-0.02842145759906684,3.1983047661710717
137,50,20,2,-1.7164244459439717,26.4757129284762
285,37,36,1,-1.0429613936028512,17.548556094116986
207,16,37,8,1.3264716683190478,20.375528935848244
87,82,24,1,0.44864867405200504,30.63694209706237
179,81,37,9,-0.07873168366780701,46.69183954150425
241,21,26,6,-2.2167610544829093,22.905792469192885
237,43,18,7,1.3895663386149641,36.30795217769861
70,42,25,7,1.8704238978155172,27.47189748570832
210,57,24,3,1.6880170323689148,33.088818574499655
253,32,35,2,-0.6152452157694905,18.946728066711806
107,71,25,9,0.3827994671507864,43.39793532287116
71,97,18,8,0.49214103393666203,55.50092649730724
285,46,28,7,-1.5274526258344112,38.066867878700336
138,53,35,9,0.18049250549954757,37.47414504063036
98,95,27,4,1.0710415241175089,41.66134773890244
268,44,20,4,0.7644782353257112,33.827425599904146
108,74,24,1,-1.1111638127440977,32.48417700861183
219,56,33,8,-0.8626151215655481,34.23242398063125
269,87,33,3,0.7905939894241456,43.03982943235185
237,12,37,7,0.6328524373827114,20.73748435168243
257,10,34,2,-2.2541586795176154,13.075630147365374
64,14,19,2,-2.4565931457733945,7.5062270958930135
239,99,18,7,-0.07653206135154646,60.249145458598825
239,23,33,6,-0.5896528566871656,26.471156926446607
224,36,29,3,-0.29830122316370744,25.44798678117764
239,18,22,9,-0.41129059065981416,28.812836125904607
100,88,22,6,0.98402354456309,45.83282196024152
157,24,26,6,0.10356808444235,22.370338004271034
104,99,26,1,0.26763601416312477,42.43719874802738
293,51,20,4,-1.3423128265099935,38.7821410320856
