Age,Annual_Income,Spending_Score,Online_Visits_Per_Month
22,25,78,18
23,28,82,20
24,30,85,22
21,27,76,17
25,32,88,23
26,35,90,24
22,29,80,19
24,31,84,21
23,26,79,18
27,34,87,22
45,55,50,8
47,60,48,7
43,52,55,9
50,65,45,6
48,58,52,7
46,57,49,8
44,53,54,9
49,62,47,6
42,50,56,10
51,68,44,5
60,40,20,3
63,38,18,2
65,35,15,2
62,42,22,3
61,39,19,3
66,36,14,1
64,37,17,2
67,34,13,1
68,33,12,1
69,30,10,1
28,36,89,25
29,38,91,26
30,40,92,27
31,42,88,24
32,45,85,22
33,48,82,20
34,50,80,19
35,52,78,18
36,54,75,17
37,56,73,16
52,70,43,5
53,72,41,4
54,75,39,4
55,78,38,3
56,80,35,3
57,82,33,2
58,85,30,2
59,88,28,1
41,49,58,11
40,47,60,12
20,24,77,16
19,22,74,15
18,20,72,14
21,23,76,17
22,25,79,18
23,27,81,19
24,29,83,20
25,31,86,22
26,33,88,23
27,35,90,24
43,51,53,9
44,54,50,8
45,57,48,7
46,60,46,7
47,63,44,6
48,66,42,5
49,69,40,5
50,72,38,4
51,75,36,4
52,78,34,3
60,41,21,3
61,39,19,2
62,37,17,2
63,35,15,2
64,33,14,1
65,32,13,1
66,31,12,1
67,30,11,1
68,29,10,1
69,28,9,1
30,44,87,23
31,46,85,22
32,48,83,21
33,50,81,20
34,52,79,19
35,54,77,18
36,56,75,17
37,58,73,16
38,60,71,15
39,62,69,14
40,64,67,13
41,66,65,12
42,68,63,11
43,70,61,10
44,72,59,9
45,74,57,8
46,76,55,7
47,78,53,6
48,80,51,6
49,82,49,5
