experience_years,monthly_hours,projects_handled,salary,work_life_balance,remote_work,performance_score,left_company
15,165,5,57393,1,1,98.7,0
4,236,7,32340,5,1,77.5,0
3,165,5,31729,4,0,54.2,0
19,225,9,70692,1,0,100.0,1
7,162,3,27769,2,1,51.4,0
14,216,5,54013,5,1,100.0,0
8,154,7,88427,3,0,89.7,0
14,215,6,73861,4,0,100.0,0
10,232,4,114974,1,1,97.9,1
8,129,6,119898,4,1,100.0,0
7,133,3,108579,1,1,85.1,0
6,205,7,25022,3,1,78.5,0
4,121,5,97773,2,0,84.8,0
16,151,4,68581,1,1,91.5,0
7,168,3,82712,2,0,77.3,0
12,202,6,27911,2,0,78.0,0
0,184,8,80478,4,1,87.0,0
11,178,6,88608,4,1,100.0,0
6,130,9,97164,5,0,100.0,0
19,147,6,24216,2,1,87.2,0
12,128,3,30319,2,1,69.4,0
5,220,1,93461,3,1,73.0,0
16,174,4,50820,2,0,95.8,0
0,162,3,83117,4,0,66.5,0
2,212,3,72340,2,1,59.4,0
9,127,5,116250,2,1,99.7,0
14,248,4,90112,2,0,100.0,1
6,164,5,52438,3,0,70.5,0
4,129,9,36715,2,1,73.9,0
14,166,8,36619,4,0,90.7,0
9,247,1,119521,3,0,88.3,0
3,125,3,112512,1,0,73.4,0
3,131,8,44966,2,1,66.1,0
8,226,9,64336,1,1,91.9,1
19,160,9,96163,1,0,100.0,0
16,156,5,32855,2,1,86.0,0
1,189,1,45566,5,1,60.2,0
0,227,5,48548,5,1,64.3,0
16,213,2,97019,5,0,100.0,0
12,169,8,51336,3,0,90.8,0
7,181,5,72510,5,0,84.9,0
10,230,1,45370,2,0,68.7,1
9,255,2,68430,4,1,90.5,0
3,212,1,55895,1,1,40.7,0
0,178,7,53267,1,0,49.6,0
7,198,3,100666,2,1,89.1,0
0,167,1,60665,3,0,53.0,0
4,246,3,91615,1,1,71.6,1
3,225,5,20236,2,1,51.9,1
1,197,5,118260,1,1,74.6,0
3,144,2,95466,4,1,90.4,0
1,187,1,60433,4,0,57.4,0
19,255,1,68481,3,0,100.0,0
4,169,3,96837,4,1,88.5,0
19,153,4,67916,3,1,100.0,0
1,195,8,49361,5,0,79.0,0
5,211,7,42226,3,0,71.3,0
9,188,4,35185,2,0,69.7,0
17,215,6,93015,1,1,100.0,0
2,245,7,67598,2,0,79.8,1
19,181,9,31025,5,0,100.0,0
18,214,7,33256,1,0,91.3,0
18,198,8,96662,4,1,100.0,0
3,228,4,95341,5,0,95.4,0
11,196,9,88670,3,1,100.0,0
15,233,6,102326,3,0,100.0,0
16,242,7,69704,3,0,100.0,0
12,244,5,92499,5,1,100.0,0
11,217,3,26721,4,1,86.5,0
