Daily_Steps,Workout_Minutes,Calories_Burned,Active_Hours
3000,20,180,2.0
3200,22,190,2.1
2800,18,170,1.9
3500,25,210,2.3
3100,21,185,2.0
3300,23,195,2.2
2900,19,175,1.8
3400,24,205,2.2
3600,26,215,2.4
3000,20,180,2.0
3100,21,185,2.1
3200,22,190,2.2
3300,23,200,2.3
3400,24,210,2.3
3500,25,220,2.5
3000,20,180,2.0
3100,21,185,2.1
3200,22,190,2.2
3300,23,200,2.3
3400,24,210,2.3
7000,40,350,4.5
7200,42,360,4.7
6800,38,340,4.3
7500,45,380,5.0
7100,41,355,4.6
7300,43,365,4.8
6900,39,345,4.4
7400,44,375,4.9
7600,46,390,5.1
7000,40,350,4.5
7100,41,355,4.6
7200,42,360,4.7
7300,43,365,4.8
7400,44,375,4.9
7500,45,385,5.0
7000,40,350,4.5
7100,41,355,4.6
7200,42,360,4.7
7300,43,365,4.8
7400,44,375,4.9
11000,65,550,7.5
11200,67,560,7.7
10800,63,540,7.3
11500,70,580,8.0
11100,66,555,7.6
11300,68,565,7.8
10900,64,545,7.4
11400,69,575,7.9
11600,71,590,8.2
11000,65,550,7.5
11100,66,555,7.6
11200,67,560,7.7
11300,68,565,7.8
11400,69,575,7.9
11500,70,585,8.1
11000,65,550,7.5
11100,66,555,7.6
11200,67,560,7.7
11300,68,565,7.8
11400,69,575,7.9
